date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,temp_lower,temp_upper,wind_lower,wind_upper,press_lower,press_upper,if_score,is_if_anomaly,lstm_error,is_lstm_anomaly,if_threshold,lstm_threshold,anomaly_label,reconstruction_error_summary,reconstruction_error_plot,TreeSHAP_natural_language_summary,local_contribution_plot_path
31/05/2025 17:00,23,1011.4,0,24.1,10,26.25,4.1,27.1,1000.160075,1028.983814,0.1626693314,0,0.6808349134,1,0.03304385849,0.6425,Pattern anomaly,"🕒 Timestamp: 2025-05-31 17:00:00
🔎 Anomaly Severity: Consistent unusual behavior (pattern-level issue)

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.599)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.603)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_0_error_plot.png,"Sample Index: 0
Anomaly Label: Pattern anomaly

The model's baseline anomaly score is **12.70**. For this event, the score is **10.91**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.48)
  • **precip_z_24h** = 0.00 (contribution: +0.42)
  • **surface_pressure_z** = -0.44 (contribution: +0.30)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  • **wind_r** = 1.73 (contribution: -1.92)
  • **temperature_2m_z** = 1.98 (contribution: -1.07)

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_0.png
31/05/2025 18:00,21.9,1011.2,0,24.8,10,26.25,4.1,27.1,1000.160075,1028.983814,0.1691932073,0,0.6443278948,1,0.03304385849,0.6425,Pattern anomaly,"🕒 Timestamp: 2025-05-31 18:00:00
🔎 Anomaly Severity: Consistent unusual behavior (pattern-level issue)

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.597)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.602)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_1_error_plot.png,"Sample Index: 1
Anomaly Label: Pattern anomaly

The model's baseline anomaly score is **12.70**. For this event, the score is **11.11**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.48)
  • **precip_z_24h** = 0.00 (contribution: +0.46)
  • **surface_pressure_z** = -0.47 (contribution: +0.32)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  • **wind_r** = 1.77 (contribution: -2.02)
  • **temperature_2m_z** = 1.75 (contribution: -0.82)

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_1.png
31/05/2025 19:00,21.1,1010.8,0,25.2,10,26.25,4.1,27.1,1000.160075,1028.983814,0.1673938821,0,0.6689630067,1,0.03304385849,0.6425,Pattern anomaly,"🕒 Timestamp: 2025-05-31 19:00:00
🔎 Anomaly Severity: Consistent unusual behavior (pattern-level issue)

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.596)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.593)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_2_error_plot.png,"Sample Index: 2
Anomaly Label: Pattern anomaly

The model's baseline anomaly score is **12.70**. For this event, the score is **11.05**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.48)
  • **precip_z_24h** = 0.00 (contribution: +0.48)
  • **surface_pressure_z** = -0.52 (contribution: +0.25)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  • **wind_r** = 1.80 (contribution: -2.19)
  • **temperature_2m_z** = 1.58 (contribution: -0.65)

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_2.png
31/05/2025 20:00,20.1,1010.9,0,15.8,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2003753784,0,0.5071342084,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-05-31 20:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.595)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.593)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_3_error_plot.png,"Sample Index: 3
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **12.12**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.52)
  • **precip_z_24h** = 0.00 (contribution: +0.45)
  • **surface_pressure_z** = -0.51 (contribution: +0.32)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  • **wind_r** = 1.45 (contribution: -1.38)
  • **temperature_2m_z** = 1.37 (contribution: -0.48)

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_3.png
31/05/2025 21:00,18.7,1011.7,0,18.4,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2346454906,0,0.5083974148,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-05-31 21:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.594)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.599)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_4_error_plot.png,"Sample Index: 4
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **13.32**. This suggests it's **normal** ✅.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.55)
  • **precip_z_24h** = 0.00 (contribution: +0.47)
  • **surface_pressure_z** = -0.40 (contribution: +0.41)
  • **temperature_2m_z** = 1.07 (contribution: +0.08)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  • **wind_r** = 1.17 (contribution: -0.88)

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_4.png
31/05/2025 22:00,17.9,1011.9,0,14,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2654582561,0,0.4075801516,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-05-31 22:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.593)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.601)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_5_error_plot.png,"Sample Index: 5
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **14.49**. This suggests it's **normal** ✅.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.58)
  • **precip_z_24h** = 0.00 (contribution: +0.50)
  • **surface_pressure_z** = -0.37 (contribution: +0.40)
  • **temperature_2m_z** = 0.90 (contribution: +0.23)
  • **wind_r** = 0.69 (contribution: +0.08)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  *(None)*

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_5.png
31/05/2025 23:00,16.8,1012.1,0,18.4,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2668567481,0,0.4340598423,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-05-31 23:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.595)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.607)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_6_error_plot.png,"Sample Index: 6
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **14.54**. This suggests it's **normal** ✅.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.56)
  • **precip_z_24h** = 0.00 (contribution: +0.49)
  • **surface_pressure_z** = -0.34 (contribution: +0.40)
  • **temperature_2m_z** = 0.67 (contribution: +0.39)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  • **wind_r** = 0.80 (contribution: -0.01)

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_6.png
01/06/2025 00:00,15.8,1012.3,0,14.8,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2690053977,0,0.3420143707,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-06-01 00:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.595)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.609)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_7_error_plot.png,"Sample Index: 7
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **14.63**. This suggests it's **normal** ✅.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.55)
  • **precip_z_24h** = 0.00 (contribution: +0.47)
  • **temperature_2m_z** = 0.46 (contribution: +0.37)
  • **surface_pressure_z** = -0.32 (contribution: +0.36)
  • **wind_r** = 0.65 (contribution: +0.17)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  *(None)*

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_7.png
01/06/2025 01:00,15,1012,0,8.6,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2760191671,0,0.376684279,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-06-01 01:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.594)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.608)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_8_error_plot.png,"Sample Index: 8
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **14.91**. This suggests it's **normal** ✅.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.56)
  • **precip_z_24h** = 0.00 (contribution: +0.50)
  • **temperature_2m_z** = 0.29 (contribution: +0.43)
  • **surface_pressure_z** = -0.36 (contribution: +0.40)
  • **wind_r** = 0.42 (contribution: +0.32)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  *(None)*

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_8.png
01/06/2025 02:00,14.7,1011.7,0,13.3,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2752336633,0,0.3528383851,0,0.03304385849,0.6425,Normal,"🕒 Timestamp: 2025-06-01 02:00:00
🔎 Anomaly Severity: No concern

⚠️ Notable deviations in:
- Temperature 2m (avg error: 0.594)
- Surface pressure (avg error: 0.611)
- Wind speed 10m (avg error: 0.608)

Interpretation: These features were harder to reconstruct, suggesting potentially unusual weather conditions.
📌 Action: Investigate meteorological patterns, sensor quality, or model scope for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/REA/sample_9_error_plot.png,"Sample Index: 9
Anomaly Label: Normal

The model's baseline anomaly score is **12.70**. For this event, the score is **14.88**. This suggests it's **normal** ✅.

**Why did it happen?** 🤔
Here's how features influenced the score:
- Features that **decreased** the anomaly score (made it seem more normal) ✨:
  • **precip_z_12h** = 0.00 (contribution: +0.57)
  • **precip_z_24h** = 0.00 (contribution: +0.50)
  • **temperature_2m_z** = 0.22 (contribution: +0.43)
  • **surface_pressure_z** = -0.40 (contribution: +0.34)
  • **wind_r** = 0.20 (contribution: +0.34)
- Features that **increased** the anomaly score (made it seem more anomalous) 📈:
  *(None)*

**What should we do?** ✅ Review variables that increased the anomaly score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/Plots/TreeSHAP/shap_plot_9.png
