date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,temp_lower,temp_upper,wind_lower,wind_upper,press_lower,press_upper,if_score,is_if_anomaly,lstm_error,is_lstm_anomaly,if_threshold,lstm_threshold,anomaly_label,reconstruction_error_summary,reconstruction_error_plot,TreeSHAP_natural_language_summary,local_contribution_plot_path
2025-05-31 17:00:00,23,1011.4,0,24.1,10,26.25,4.1,27.1,1000.160075,1028.983814,0.1626693314,0,0.6808349134,1,0.03304385849,0.6425,Pattern anomaly,"Sample Anomaly Label: Pattern anomaly

The model's baseline normality score is **12.70**. For this event, the score is **10.91**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.48)
  • **precip_z_24h** = 0.00 (contribution: +0.42)
  • **surface_pressure_z** = -0.44 (contribution: +0.30)

- Features that decreased the normality score (made it seem more anomalous) :

  • **wind_r** = 1.73 (contribution: -1.92)
  • **temperature_2m_z** = 1.98 (contribution: -1.07)

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_170000.png,"🔍 **Anomaly Severity**: Unusual behavior (pattern-level issue)

⚠️ The model flagged this sample as **anomalous** based on unusual reconstruction behavior.

📌 **What this means:**
This time window exhibited deviations from typical weather patterns, which may indicate unexpected events or data irregularities.

🛠️ **Recommended action:** Consider reviewing operational context (e.g., weather warnings, sudden shifts in conditions) for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_170000.png
2025-05-31 18:00:00,21.9,1011.2,0,24.8,10,26.25,4.1,27.1,1000.160075,1028.983814,0.1691932073,0,0.6443278948,1,0.03304385849,0.6425,Pattern anomaly,"Sample Anomaly Label: Pattern anomaly

The model's baseline normality score is **12.70**. For this event, the score is **11.11**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.48)
  • **precip_z_24h** = 0.00 (contribution: +0.46)
  • **surface_pressure_z** = -0.47 (contribution: +0.32)

- Features that decreased the normality score (made it seem more anomalous) :

  • **wind_r** = 1.77 (contribution: -2.02)
  • **temperature_2m_z** = 1.75 (contribution: -0.82)

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_180000.png,"🔍 **Anomaly Severity**: Unusual behavior (pattern-level issue)

⚠️ The model flagged this sample as **anomalous** based on unusual reconstruction behavior.

📌 **What this means:**
This time window exhibited deviations from typical weather patterns, which may indicate unexpected events or data irregularities.

🛠️ **Recommended action:** Consider reviewing operational context (e.g., weather warnings, sudden shifts in conditions) for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_180000.png
2025-05-31 19:00:00,21.1,1010.8,0,25.2,10,26.25,4.1,27.1,1000.160075,1028.983814,0.1673938821,0,0.6689630067,1,0.03304385849,0.6425,Pattern anomaly,"Sample Anomaly Label: Pattern anomaly

The model's baseline normality score is **12.70**. For this event, the score is **11.05**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.48)
  • **precip_z_24h** = 0.00 (contribution: +0.48)
  • **surface_pressure_z** = -0.52 (contribution: +0.25)

- Features that decreased the normality score (made it seem more anomalous) :

  • **wind_r** = 1.80 (contribution: -2.19)
  • **temperature_2m_z** = 1.58 (contribution: -0.65)

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_190000.png,"🔍 **Anomaly Severity**: Unusual behavior (pattern-level issue)

⚠️ The model flagged this sample as **anomalous** based on unusual reconstruction behavior.

📌 **What this means:**
This time window exhibited deviations from typical weather patterns, which may indicate unexpected events or data irregularities.

🛠️ **Recommended action:** Consider reviewing operational context (e.g., weather warnings, sudden shifts in conditions) for this period.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_190000.png
2025-05-31 20:00:00,20.1,1010.9,0,15.8,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2003753784,0,0.5071342084,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **12.12**. This suggests it's **more unusual than normal** 🚨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.52)
  • **precip_z_24h** = 0.00 (contribution: +0.45)
  • **surface_pressure_z** = -0.51 (contribution: +0.32)

- Features that decreased the normality score (made it seem more anomalous) :

  • **wind_r** = 1.45 (contribution: -1.38)
  • **temperature_2m_z** = 1.37 (contribution: -0.48)

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_200000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_200000.png
2025-05-31 21:00:00,18.7,1011.7,0,18.4,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2346454906,0,0.5083974148,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **13.32**. This suggests it's **more normal** ✨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.55)
  • **precip_z_24h** = 0.00 (contribution: +0.47)
  • **surface_pressure_z** = -0.40 (contribution: +0.41)

- Features that decreased the normality score (made it seem more anomalous) :

  • **wind_r** = 1.17 (contribution: -0.88)

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_210000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_210000.png
2025-05-31 22:00:00,17.9,1011.9,0,14,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2654582561,0,0.4075801516,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **14.49**. This suggests it's **more normal** ✨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.58)
  • **precip_z_24h** = 0.00 (contribution: +0.50)
  • **surface_pressure_z** = -0.37 (contribution: +0.40)

- No features decreased the normality score.

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_220000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_220000.png
2025-05-31 23:00:00,16.8,1012.1,0,18.4,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2668567481,0,0.4340598423,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **14.54**. This suggests it's **more normal** ✨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.56)
  • **precip_z_24h** = 0.00 (contribution: +0.49)
  • **surface_pressure_z** = -0.34 (contribution: +0.40)

- Features that decreased the normality score (made it seem more anomalous) :

  • **wind_r** = 0.80 (contribution: -0.01)

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250531_230000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250531_230000.png
2025-06-01 00:00:00,15.8,1012.3,0,14.8,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2690053977,0,0.3420143707,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **14.63**. This suggests it's **more normal** ✨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.55)
  • **precip_z_24h** = 0.00 (contribution: +0.47)
  • **temperature_2m_z** = 0.46 (contribution: +0.37)

- No features decreased the normality score.

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250601_000000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250601_000000.png
2025-06-01 01:00:00,15,1012,0,8.6,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2760191671,0,0.376684279,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **14.91**. This suggests it's **more normal** ✨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.56)
  • **precip_z_24h** = 0.00 (contribution: +0.50)
  • **temperature_2m_z** = 0.29 (contribution: +0.43)

- No features decreased the normality score.

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250601_010000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250601_010000.png
2025-06-01 02:00:00,14.7,1011.7,0,13.3,10,26.25,4.1,27.1,1000.160075,1028.983814,0.2752336633,0,0.3528383851,0,0.03304385849,0.6425,Normal,"Sample Anomaly Label: Normal

The model's baseline normality score is **12.70**. For this event, the score is **14.88**. This suggests it's **more normal** ✨.

**Why did it happen?** 🤔
Here's how features influenced the normality score:
- Features that increased the normality score (made it seem more normal) :

  • **precip_z_12h** = 0.00 (contribution: +0.57)
  • **precip_z_24h** = 0.00 (contribution: +0.50)
  • **temperature_2m_z** = 0.22 (contribution: +0.43)

- No features decreased the normality score.

**What should we do?** ✅ Review variables that decreased the normality score. Validate against known events or investigate further if unexpected.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/SHAP_plots/shap_plot_20250601_020000.png,"🔍 **Anomaly Severity**: No concern

✅ No anomalies were detected in this sample. Model predictions were consistent with expected weather patterns.
No action is required for this time window.",/content/drive/MyDrive/Data Science Group Project/XAI outputs for dashboard/REA_plots/rea_plot_20250601_020000.png
